key,coupler_extent,C11,C12,C13,C21,C22,C23,C31,C32,C33
clockmon_[123.49999999999999__20],"[123.49999999999999, 20]",4.6586307620967326e-14,9.119043098739282e-15,4.104866276711008e-16,9.119043098739282e-15,9.782734973844508e-14,3.7413013563868715e-14,4.104866276711008e-16,3.7413013563868715e-14,1.0274626205743057e-13
clockmon_[125.8__20],"[125.8, 20]",4.674269859614334e-14,9.244326040429933e-15,4.14877908374928e-16,9.244326040429933e-15,9.776365853304095e-14,3.741053349758122e-14,4.14877908374928e-16,3.741053349758122e-14,1.0274558945802296e-13
clockmon_[128.1__20],"[128.1, 20]",4.6894452451075805e-14,9.367564231587532e-15,4.194104310600909e-16,9.367564231587532e-15,9.769788143772002e-14,3.740852686724546e-14,4.194104310600909e-16,3.740852686724546e-14,1.0274312172160604e-13
clockmon_[130.39999999999998__20],"[130.39999999999998, 20]",4.704756741249123e-14,9.491856359709531e-15,4.239883370099859e-16,9.491856359709531e-15,9.763327234950395e-14,3.740645871367192e-14,4.239883370099859e-16,3.740645871367192e-14,1.0274065878280098e-13
clockmon_[132.7__20],"[132.7, 20]",4.7201725980404766e-14,9.616179279764477e-15,4.285357708725943e-16,9.616179279764477e-15,9.756783769423338e-14,3.740429042148313e-14,4.285357708725943e-16,3.740429042148313e-14,1.0273809756098707e-13
clockmon_[135.0__20],"[135.0, 20]",4.7355778092138256e-14,9.74009763173465e-15,4.331219893907215e-16,9.74009763173465e-15,9.750292294761095e-14,3.740234693606071e-14,4.331219893907215e-16,3.740234693606071e-14,1.0273561362849407e-13
clockmon_[137.3__20],"[137.3, 20]",4.7509878461350496e-14,9.864413081576036e-15,4.376915513102883e-16,9.864413081576036e-15,9.74380486965159e-14,3.740031010611285e-14,4.376915513102883e-16,3.740031010611285e-14,1.0273307994512427e-13
clockmon_[139.6__20],"[139.6, 20]",4.7664801336689655e-14,9.987735460458184e-15,4.422001177472027e-16,9.987735460458184e-15,9.737270765484205e-14,3.739825085542866e-14,4.422001177472027e-16,3.739825085542866e-14,1.0273071032477384e-13
clockmon_[141.89999999999998__20],"[141.89999999999998, 20]",4.7818621901680227e-14,1.01126712621911e-14,4.468048864172559e-16,1.01126712621911e-14,9.730721249253018e-14,3.7396311132678205e-14,4.468048864172559e-16,3.7396311132678205e-14,1.0272810944116862e-13
clockmon_[144.2__20],"[144.2, 20]",4.7972079512695837e-14,1.0236421489034451e-14,4.513166483384707e-16,1.0236421489034451e-14,9.724273312638187e-14,3.739403318068006e-14,4.513166483384707e-16,3.739403318068006e-14,1.0272580030582666e-13
clockmon_[146.5__20],"[146.5, 20]",4.812517319511153e-14,1.036083925155173e-14,4.558921355947201e-16,1.036083925155173e-14,9.717757461136949e-14,3.739207080665217e-14,4.558921355947201e-16,3.739207080665217e-14,1.0272325197242071e-13
clockmon_[148.79999999999998__20],"[148.79999999999998, 20]",4.828040467003268e-14,1.048495721489156e-14,4.604638155123795e-16,1.048495721489156e-14,9.711202626370962e-14,3.739018126558032e-14,4.604638155123795e-16,3.739018126558032e-14,1.0272064135361698e-13
clockmon_[151.1__20],"[151.1, 20]",4.843541306996586e-14,1.060920562975762e-14,4.650290223094665e-16,1.060920562975762e-14,9.704858074371863e-14,3.738841774585986e-14,4.650290223094665e-16,3.738841774585986e-14,1.027181190067106e-13
clockmon_[153.39999999999998__20],"[153.39999999999998, 20]",4.858981657205885e-14,1.073235595086192e-14,4.695239061083658e-16,1.073235595086192e-14,9.698423556176923e-14,3.738583931583705e-14,4.695239061083658e-16,3.738583931583705e-14,1.0271517389941259e-13
clockmon_[155.7__20],"[155.7, 20]",4.874246467660977e-14,1.085607060042155e-14,4.74219264954801e-16,1.085607060042155e-14,9.69188472320855e-14,3.738267493320716e-14,4.74219264954801e-16,3.738267493320716e-14,1.0270989470772875e-13
clockmon_[158.0__20],"[158.0, 20]",4.889772347068197e-14,1.097987829314106e-14,4.787741646686797e-16,1.097987829314106e-14,9.685396684250908e-14,3.738154473691594e-14,4.787741646686797e-16,3.738154473691594e-14,1.0270680420171448e-13
clockmon_[160.29999999999998__20],"[160.29999999999998, 20]",4.9054962839126143e-14,1.110484386406166e-14,4.833540797361246e-16,1.110484386406166e-14,9.678860397716717e-14,3.737962411841858e-14,4.833540797361246e-16,3.737962411841858e-14,1.0270540020058289e-13
clockmon_[162.6__20],"[162.6, 20]",4.920992887355495e-14,1.122899654974238e-14,4.878594537103087e-16,1.122899654974238e-14,9.672288781704593e-14,3.737679128141221e-14,4.878594537103087e-16,3.737679128141221e-14,1.0270330569100107e-13
clockmon_[164.89999999999998__20],"[164.89999999999998, 20]",4.936349077904886e-14,1.135285804899111e-14,4.924207580669388e-16,1.135285804899111e-14,9.665772550773828e-14,3.73739301232314e-14,4.924207580669388e-16,3.73739301232314e-14,1.0269935276921777e-13
clockmon_[167.2__20],"[167.2, 20]",4.951932580451382e-14,1.147628762457742e-14,4.969244793777059e-16,1.147628762457742e-14,9.659229159386974e-14,3.737202204849754e-14,4.969244793777059e-16,3.737202204849754e-14,1.0269691998566705e-13
clockmon_[169.5__20],"[169.5, 20]",4.9675474153841303e-14,1.160013460058656e-14,5.01390497479383e-16,1.160013460058656e-14,9.652718410060309e-14,3.7370136612263363e-14,5.01390497479383e-16,3.7370136612263363e-14,1.0269453599064414e-13
clockmon_[171.79999999999998__20],"[171.79999999999998, 20]",4.9831309000263743e-14,1.17239888815864e-14,5.05958736121964e-16,1.17239888815864e-14,9.646163934430487e-14,3.736795213097406e-14,5.05958736121964e-16,3.736795213097406e-14,1.0269174453153945e-13
clockmon_[174.1__20],"[174.1, 20]",4.99845221709286e-14,1.184581015369021e-14,5.104223702353173e-16,1.184581015369021e-14,9.639745632402067e-14,3.7366959313595523e-14,5.104223702353173e-16,3.7366959313595523e-14,1.0269187195638964e-13
clockmon_[176.39999999999998__20],"[176.39999999999998, 20]",5.014118213070845e-14,1.196963021261674e-14,5.148609680862939e-16,1.196963021261674e-14,9.633269109697838e-14,3.736425316122248e-14,5.148609680862939e-16,3.736425316122248e-14,1.0268757173021002e-13
clockmon_[178.7__20],"[178.7, 20]",5.029820488853474e-14,1.209330411481023e-14,5.193116172781051e-16,1.209330411481023e-14,9.626733113437095e-14,3.736274175922692e-14,5.193116172781051e-16,3.736274175922692e-14,1.0268604415829328e-13
clockmon_[181.0__20],"[181.0, 20]",5.0451706273688984e-14,1.221678312592888e-14,5.239905228914103e-16,1.221678312592888e-14,9.620129196960311e-14,3.735987621875962e-14,5.239905228914103e-16,3.735987621875962e-14,1.0268179355140678e-13
clockmon_[183.29999999999998__20],"[183.29999999999998, 20]",5.0607487919683423e-14,1.234014261157546e-14,5.286744685131285e-16,1.234014261157546e-14,9.613571998525478e-14,3.735756995832288e-14,5.286744685131285e-16,3.735756995832288e-14,1.02679214892334e-13
clockmon_[185.6__20],"[185.6, 20]",5.0762873326322244e-14,1.246388452804355e-14,5.332557079092502e-16,1.246388452804355e-14,9.606792240827146e-14,3.735485893756877e-14,5.332557079092502e-16,3.735485893756877e-14,1.0267606962382058e-13
clockmon_[187.89999999999998__20],"[187.89999999999998, 20]",5.091948622775332e-14,1.25871495677246e-14,5.377925755386494e-16,1.25871495677246e-14,9.600158752032259e-14,3.735251974432402e-14,5.377925755386494e-16,3.735251974432402e-14,1.0267308566351603e-13
clockmon_[190.2__20],"[190.2, 20]",5.107618365420789e-14,1.271037489972417e-14,5.421255549522638e-16,1.271037489972417e-14,9.593764217114634e-14,3.735201967130971e-14,5.421255549522638e-16,3.735201967130971e-14,1.0267140565086921e-13
clockmon_[192.5__20],"[192.5, 20]",5.123636588962157e-14,1.28340447470663e-14,5.462721605412946e-16,1.28340447470663e-14,9.587232482105237e-14,3.735045729624382e-14,5.462721605412946e-16,3.735045729624382e-14,1.0267009553705218e-13
clockmon_[194.79999999999998__20],"[194.79999999999998, 20]",5.139218281663494e-14,1.295690987675777e-14,5.507762896254179e-16,1.295690987675777e-14,9.580970626070506e-14,3.734886154754837e-14,5.507762896254179e-16,3.734886154754837e-14,1.0266767167667481e-13
clockmon_[197.1__20],"[197.1, 20]",5.154939794429173e-14,1.307972876439826e-14,5.552044707866153e-16,1.307972876439826e-14,9.57441284963761e-14,3.734684556566823e-14,5.552044707866153e-16,3.734684556566823e-14,1.0266498963787935e-13
clockmon_[199.39999999999998__20],"[199.39999999999998, 20]",5.170611394525508e-14,1.320280630929495e-14,5.597429317581694e-16,1.320280630929495e-14,9.567835514395586e-14,3.734473400942911e-14,5.597429317581694e-16,3.734473400942911e-14,1.0266242861199311e-13
clockmon_[20.0__20],"[20.0, 20]",4.0250320010479384e-14,3.533154082455877e-15,2.0557808597837742e-16,3.533154082455877e-15,1.0062812231642347e-13,3.749358471214876e-14,2.0557808597837742e-16,3.749358471214876e-14,1.0281801543479016e-13
clockmon_[201.7__20],"[201.7, 20]",5.1864239489555024e-14,1.33260104691426e-14,5.642179440164767e-16,1.33260104691426e-14,9.561299046755797e-14,3.7342982473049916e-14,5.642179440164767e-16,3.7342982473049916e-14,1.026602026007873e-13
clockmon_[204.0__20],"[204.0, 20]",5.202258334746398e-14,1.344864963957258e-14,5.68767590187011e-16,1.344864963957258e-14,9.554739849784027e-14,3.734183918727337e-14,5.68767590187011e-16,3.734183918727337e-14,1.0265711815492132e-13
clockmon_[206.29999999999998__20],"[206.29999999999998, 20]",5.2178915086888035e-14,1.357094711208189e-14,5.730502055426884e-16,1.357094711208189e-14,9.54816248605389e-14,3.73390411390602e-14,5.730502055426884e-16,3.73390411390602e-14,1.0265507784354331e-13
clockmon_[208.6__20],"[208.6, 20]",5.2336085619352335e-14,1.369340411071315e-14,5.775921886143797e-16,1.369340411071315e-14,9.541638145062095e-14,3.733698866548421e-14,5.775921886143797e-16,3.733698866548421e-14,1.026525638954481e-13
clockmon_[210.89999999999998__20],"[210.89999999999998, 20]",5.249199078535012e-14,1.38161713832733e-14,5.824401796698962e-16,1.38161713832733e-14,9.5350400267334e-14,3.7333424407370585e-14,5.824401796698962e-16,3.7333424407370585e-14,1.0264905504769937e-13
clockmon_[213.2__20],"[213.2, 20]",5.26497581500376e-14,1.393885887315946e-14,5.869012633288669e-16,1.393885887315946e-14,9.528394867255837e-14,3.733118623907596e-14,5.869012633288669e-16,3.733118623907596e-14,1.0264633053460177e-13
clockmon_[215.49999999999997__20],"[215.49999999999997, 20]",5.280845526269218e-14,1.406135532373679e-14,5.913471874829244e-16,1.406135532373679e-14,9.52189130139685e-14,3.732931741427552e-14,5.913471874829244e-16,3.732931741427552e-14,1.0264391171262766e-13
clockmon_[217.79999999999998__20],"[217.79999999999998, 20]",5.2960852234915785e-14,1.418234071070243e-14,5.958458820172853e-16,1.418234071070243e-14,9.515398574969883e-14,3.732802044635123e-14,5.958458820172853e-16,3.732802044635123e-14,1.026411814602141e-13
clockmon_[22.3__20],"[22.3, 20]",4.0376031605841e-14,3.659821763477587e-15,2.100851424237856e-16,3.659821763477587e-15,1.0056658252105529e-13,3.749130013284411e-14,2.100851424237856e-16,3.749130013284411e-14,1.0281564099789419e-13
clockmon_[220.1__20],"[220.1, 20]",5.311955492475883e-14,1.430498360924472e-14,6.003067308414707e-16,1.430498360924472e-14,9.508788194624022e-14,3.732590842337727e-14,6.003067308414707e-16,3.732590842337727e-14,1.0263833925931694e-13
clockmon_[222.39999999999998__20],"[222.39999999999998, 20]",5.3397002297516854e-14,1.442367277660169e-14,6.037987797647914e-16,1.442367277660169e-14,9.498380704179962e-14,3.731502318630747e-14,6.037987797647914e-16,3.731502318630747e-14,1.0260101450690974e-13
clockmon_[224.7__20],"[224.7, 20]",5.355342820013036e-14,1.454622489758884e-14,6.080135807433869e-16,1.454622489758884e-14,9.491819998835106e-14,3.73127917000839e-14,6.080135807433869e-16,3.73127917000839e-14,1.025988463499518e-13
clockmon_[226.99999999999997__20],"[226.99999999999997, 20]",5.371202479906094e-14,1.466908359058728e-14,6.126523324928885e-16,1.466908359058728e-14,9.485241849065635e-14,3.731082626183606e-14,6.126523324928885e-16,3.731082626183606e-14,1.0259609476532808e-13
clockmon_[229.29999999999998__20],"[229.29999999999998, 20]",5.3873223465833606e-14,1.479172314690046e-14,6.168692466327484e-16,1.479172314690046e-14,9.478671451432041e-14,3.730897651806202e-14,6.168692466327484e-16,3.730897651806202e-14,1.0259389309111015e-13
clockmon_[231.6__20],"[231.6, 20]",5.391677475389709e-14,1.491486349862652e-14,6.223405302848337e-16,1.491486349862652e-14,9.476205403886758e-14,3.73166181615288e-14,6.223405302848337e-16,3.73166181615288e-14,1.0262633124070446e-13
clockmon_[233.89999999999998__20],"[233.89999999999998, 20]",5.407553624062342e-14,1.503695649809437e-14,6.268237038954637e-16,1.503695649809437e-14,9.469501048596333e-14,3.73143138819036e-14,6.268237038954637e-16,3.73143138819036e-14,1.0262357900430244e-13
clockmon_[236.2__20],"[236.2, 20]",5.4233084401683606e-14,1.515874675040975e-14,6.312506769459864e-16,1.515874675040975e-14,9.462909653201159e-14,3.731206065156294e-14,6.312506769459864e-16,3.731206065156294e-14,1.0262082334495159e-13
clockmon_[238.49999999999997__20],"[238.49999999999997, 20]",5.439484687681938e-14,1.528078546713604e-14,6.355276828775703e-16,1.528078546713604e-14,9.456504124354424e-14,3.731091873686844e-14,6.355276828775703e-16,3.731091873686844e-14,1.026191912787234e-13
clockmon_[24.6__20],"[24.6, 20]",4.050344590541655e-14,3.784963175124029e-15,2.145722910235738e-16,3.784963175124029e-15,1.0050506728068171e-13,3.748897115841386e-14,2.145722910235738e-16,3.748897115841386e-14,1.0281327499483165e-13
clockmon_[240.79999999999998__20],"[240.79999999999998, 20]",5.467394292194532e-14,1.540301583588547e-14,6.390252396768833e-16,1.540301583588547e-14,9.445918491642821e-14,3.72999501633361e-14,6.390252396768833e-16,3.72999501633361e-14,1.0258150407485001e-13
clockmon_[243.1__20],"[243.1, 20]",5.4714964806796545e-14,1.55245689833755e-14,6.443116348248572e-16,1.55245689833755e-14,9.443262637757689e-14,3.730652050972461e-14,6.443116348248572e-16,3.730652050972461e-14,1.0261427755933733e-13
clockmon_[245.39999999999998__20],"[245.39999999999998, 20]",5.48735872788763e-14,1.5645499055353945e-14,6.486675802931839e-16,1.5645499055353945e-14,9.436689892013685e-14,3.730440810344119e-14,6.486675802931839e-16,3.730440810344119e-14,1.0261167620422263e-13
clockmon_[247.7__20],"[247.7, 20]",5.503307957038304e-14,1.576717862112258e-14,6.530886592081943e-16,1.576717862112258e-14,9.430130065978496e-14,3.730231570837896e-14,6.530886592081943e-16,3.730231570837896e-14,1.0260892997328443e-13
clockmon_[250.0__20],"[250.0, 20]",5.519701627229306e-14,1.588842323286825e-14,6.570363318066145e-16,1.588842323286825e-14,9.4236564769463e-14,3.730101925655314e-14,6.570363318066145e-16,3.730101925655314e-14,1.0260738141982346e-13
clockmon_[26.9__20],"[26.9, 20]",4.06345124841679e-14,3.909890919380193e-15,2.190162670753006e-16,3.909890919380193e-15,1.0044177331548096e-13,3.748684423977555e-14,2.190162670753006e-16,3.748684423977555e-14,1.0281024608301236e-13
clockmon_[29.2__20],"[29.2, 20]",4.0764388875764025e-14,4.0356484183990055e-15,2.234664970941083e-16,4.0356484183990055e-15,1.003800855619781e-13,3.74844359000775e-14,2.234664970941083e-16,3.74844359000775e-14,1.0280666663478059e-13
clockmon_[31.5__20],"[31.5, 20]",4.089579334184658e-14,4.160088941213989e-15,2.28012679206045e-16,4.160088941213989e-15,1.0032148148017735e-13,3.748238820457657e-14,2.28012679206045e-16,3.748238820457657e-14,1.028047010829132e-13
clockmon_[33.8__20],"[33.8, 20]",4.103639047547157e-14,4.284681684705862e-15,2.324869431921121e-16,4.284681684705862e-15,1.00260966376065e-13,3.748031126468473e-14,2.324869431921121e-16,3.748031126468473e-14,1.0280227993534696e-13
clockmon_[36.099999999999994__20],"[36.099999999999994, 20]",4.11697022503376e-14,4.409005796749749e-15,2.370150307570323e-16,4.409005796749749e-15,1.002004179284708e-13,3.747819006742535e-14,2.370150307570323e-16,3.747819006742535e-14,1.0280008808284113e-13
clockmon_[38.4__20],"[38.4, 20]",4.1297188410630026e-14,4.532790702925967e-15,2.415381345161621e-16,4.532790702925967e-15,1.0013859282135726e-13,3.747606134531806e-14,2.415381345161621e-16,3.747606134531806e-14,1.0279782579996234e-13
clockmon_[40.7__20],"[40.7, 20]",4.143238115597094e-14,4.657717292100493e-15,2.460730214775071e-16,4.657717292100493e-15,1.0007694739620168e-13,3.747392949389681e-14,2.460730214775071e-16,3.747392949389681e-14,1.0279597400584848e-13
clockmon_[43.0__20],"[43.0, 20]",4.1570438442316843e-14,4.780972664483088e-15,2.5051707970988714e-16,4.780972664483088e-15,1.0001719901632575e-13,3.747204824548668e-14,2.5051707970988714e-16,3.747204824548668e-14,1.0279393246389404e-13
clockmon_[45.3__20],"[45.3, 20]",4.1714918075049997e-14,4.905139810271871e-15,2.550383088382037e-16,4.905139810271871e-15,9.995551540753523e-14,3.747009099568919e-14,2.550383088382037e-16,3.747009099568919e-14,1.0279202301466532e-13
clockmon_[47.599999999999994__20],"[47.599999999999994, 20]",4.1850407634288946e-14,5.029059918151385e-15,2.595813941573428e-16,5.029059918151385e-15,9.989264942646553e-14,3.746772576637951e-14,2.595813941573428e-16,3.746772576637951e-14,1.0278883039947975e-13
clockmon_[49.9__20],"[49.9, 20]",4.1989122002593087e-14,5.152525385334947e-15,2.6413489263295804e-16,5.152525385334947e-15,9.983004192941946e-14,3.74654856291568e-14,2.6413489263295804e-16,3.74654856291568e-14,1.0278661503143624e-13
clockmon_[52.199999999999996__20],"[52.199999999999996, 20]",4.2128690576507875e-14,5.276512191446244e-15,2.6866680998831935e-16,5.276512191446244e-15,9.976744810713118e-14,3.746338614877767e-14,2.6866680998831935e-16,3.746338614877767e-14,1.0278425496570961e-13
clockmon_[54.5__20],"[54.5, 20]",4.226896181010177e-14,5.400706866563242e-15,2.73235720577209e-16,5.400706866563242e-15,9.970470434298708e-14,3.746123566909496e-14,2.73235720577209e-16,3.746123566909496e-14,1.0278163980984595e-13
clockmon_[56.8__20],"[56.8, 20]",4.241507824080063e-14,5.524191844108011e-15,2.779437081885435e-16,5.524191844108011e-15,9.964188019734668e-14,3.745910706410779e-14,2.779437081885435e-16,3.745910706410779e-14,1.0277873776489858e-13
clockmon_[59.099999999999994__20],"[59.099999999999994, 20]",4.2535631481770127e-14,5.648277198751559e-15,2.825722587058154e-16,5.648277198751559e-15,9.957564735211042e-14,3.745669699487143e-14,2.825722587058154e-16,3.745669699487143e-14,1.0277527480333096e-13
clockmon_[61.4__20],"[61.4, 20]",4.267854819593418e-14,5.771755121631627e-15,2.870995975705984e-16,5.771755121631627e-15,9.951461331455428e-14,3.74550534169165e-14,2.870995975705984e-16,3.74550534169165e-14,1.027732907329003e-13
clockmon_[63.699999999999996__20],"[63.699999999999996, 20]",4.282052100046065e-14,5.895918183462984e-15,2.916598768442595e-16,5.895918183462984e-15,9.945057619974586e-14,3.745260042158415e-14,2.916598768442595e-16,3.745260042158415e-14,1.0277071872771278e-13
clockmon_[66.0__20],"[66.0, 20]",4.296587783430884e-14,6.019415756934652e-15,2.962041077151142e-16,6.019415756934652e-15,9.938944295047569e-14,3.745090731411795e-14,2.962041077151142e-16,3.745090731411795e-14,1.0276903017442463e-13
clockmon_[68.3__20],"[68.3, 20]",4.310974136851803e-14,6.143007368757351e-15,3.007547096597119e-16,6.143007368757351e-15,9.932799213594696e-14,3.7448903320676107e-14,3.007547096597119e-16,3.7448903320676107e-14,1.0276729593334419e-13
clockmon_[70.6__20],"[70.6, 20]",4.315352666551747e-14,6.26644670853498e-15,3.054313327672799e-16,6.26644670853498e-15,9.930406008617352e-14,3.745957456681101e-14,3.054313327672799e-16,3.745957456681101e-14,1.0280352507678072e-13
clockmon_[72.9__20],"[72.9, 20]",4.3307160454938634e-14,6.390459655824099e-15,3.103613418378076e-16,6.390459655824099e-15,9.923993755067822e-14,3.745779362697187e-14,3.103613418378076e-16,3.745779362697187e-14,1.0280088718680711e-13
clockmon_[75.19999999999999__20],"[75.19999999999999, 20]",4.345438671235841e-14,6.514592794994391e-15,3.149017032571771e-16,6.514592794994391e-15,9.917893837176457e-14,3.745600271945032e-14,3.149017032571771e-16,3.745600271945032e-14,1.027987726168786e-13
clockmon_[77.5__20],"[77.5, 20]",4.3601518875357796e-14,6.638729726234188e-15,3.194901168195046e-16,6.638729726234188e-15,9.9114876500308e-14,3.745392198025729e-14,3.194901168195046e-16,3.745392198025729e-14,1.0279636838465669e-13
clockmon_[79.8__20],"[79.8, 20]",4.3748205843538e-14,6.762490571863651e-15,3.240872834682349e-16,6.762490571863651e-15,9.905123853772779e-14,3.745177147645046e-14,3.240872834682349e-16,3.745177147645046e-14,1.027937608840399e-13
clockmon_[82.1__20],"[82.1, 20]",4.388715159536219e-14,6.886954192222126e-15,3.281490530582431e-16,6.886954192222126e-15,9.898647077043948e-14,3.745068961687179e-14,3.281490530582431e-16,3.745068961687179e-14,1.0279077519002657e-13
clockmon_[84.39999999999999__20],"[84.39999999999999, 20]",4.4041048357793526e-14,7.010889378872034e-15,3.325327186405539e-16,7.010889378872034e-15,9.892135133665788e-14,3.744684379135679e-14,3.325327186405539e-16,3.744684379135679e-14,1.0278835458705952e-13
clockmon_[86.69999999999999__20],"[86.69999999999999, 20]",4.418739301714517e-14,7.134920216308129e-15,3.370656956813038e-16,7.134920216308129e-15,9.885768311344534e-14,3.744397999554294e-14,3.370656956813038e-16,3.744397999554294e-14,1.0278456272847185e-13
clockmon_[89.0__20],"[89.0, 20]",4.433781982095813e-14,7.258987211281312e-15,3.41678377175838e-16,7.258987211281312e-15,9.879430698521633e-14,3.744271115558346e-14,3.41678377175838e-16,3.744271115558346e-14,1.027839213798381e-13
clockmon_[91.3__20],"[91.3, 20]",4.448697916672822e-14,7.383246961056629e-15,3.462943720314971e-16,7.383246961056629e-15,9.873013061480419e-14,3.744072446125699e-14,3.462943720314971e-16,3.744072446125699e-14,1.027814451307732e-13
clockmon_[93.6__20],"[93.6, 20]",4.463033981235545e-14,7.50774920245648e-15,3.508963815770404e-16,7.50774920245648e-15,9.866657363109052e-14,3.743888209563812e-14,3.508963815770404e-16,3.743888209563812e-14,1.0277948540484933e-13
clockmon_[95.89999999999999__20],"[95.89999999999999, 20]",4.4777707532964906e-14,7.631434434489427e-15,3.554596175540814e-16,7.631434434489427e-15,9.860190846874896e-14,3.74367521671338e-14,3.554596175540814e-16,3.74367521671338e-14,1.02776502428572e-13
clockmon_[98.19999999999999__20],"[98.19999999999999, 20]",4.4928234267800765e-14,7.755187239237325e-15,3.600057782081183e-16,7.755187239237325e-15,9.853872679405785e-14,3.743501337458113e-14,3.600057782081183e-16,3.743501337458113e-14,1.0277470612960616e-13
