key,finger_control,C11,C12,C21,C22
digittee_4.359999999999999,4.359999999999999,8.037507471327798e-14,5.337034846316981e-14,5.337034846316981e-14,6.306725842727719e-14
digittee_4.4399999999999995,4.4399999999999995,8.091558955793995e-14,5.598272582693184e-14,5.598272582693184e-14,6.364385342604256e-14
digittee_4.48,4.48,8.118812190748036e-14,5.732216320177324e-14,5.732216320177324e-14,6.393046151169265e-14
digittee_4.4,4.4,8.06406932795279e-14,5.466823109389311e-14,5.466823109389311e-14,6.33599133584765e-14
digittee_4.52,4.52,8.146774983836725e-14,5.866413638575725e-14,5.866413638575725e-14,6.421488698030474e-14
digittee_4.5600000000000005,4.5600000000000005,8.17463308787901e-14,6.002748921975421e-14,6.002748921975421e-14,6.449382837228776e-14
digittee_4.640000000000001,4.640000000000001,8.256486402877643e-14,6.296971578367467e-14,6.296971578367467e-14,6.525027544245133e-14
digittee_4.68,4.68,8.268716077913296e-14,6.425192540492794e-14,6.425192540492794e-14,6.542463894135685e-14
digittee_4.6,4.6,8.205480060560977e-14,6.140422867692362e-14,6.140422867692362e-14,6.478552435518848e-14
digittee_4.720000000000001,4.720000000000001,8.300580641999896e-14,6.565659210707963e-14,6.565659210707963e-14,6.576041162941008e-14
digittee_4.76,4.76,8.335976167701975e-14,6.706421746044614e-14,6.706421746044614e-14,6.611596560819974e-14
digittee_4.800000000000001,4.800000000000001,8.375661924195399e-14,6.845836298892572e-14,6.845836298892572e-14,6.651498623105108e-14
digittee_4.84,4.84,8.4181656544511e-14,6.98237894891816e-14,6.98237894891816e-14,6.694036656425349e-14
digittee_4.88,4.88,8.45641666932484e-14,7.089606880810712e-14,7.089606880810712e-14,6.738341508012069e-14
digittee_4.92,4.92,8.493322194003797e-14,7.190931816903762e-14,7.190931816903762e-14,6.781052140443838e-14
digittee_4.96,4.96,8.537917665165319e-14,7.29187714988869e-14,7.29187714988869e-14,6.826324993532879e-14
digittee_5.0,5.0,8.584595039749173e-14,7.397508329012447e-14,7.397508329012447e-14,6.880544312941063e-14
