key,coupler_widths,C11,C12,C13,C14,C15,C21,C22,C23,C24,C25,C31,C32,C33,C34,C35,C41,C42,C43,C44,C45,C51,C52,C53,C54,C55
clockmon_0_0_0_138.0_98.0_132.0,"[0, 0, 0, 138.0, 98.0, 132.0]",4.7078526511649327e-14,3.759625422173482e-17,1.594986251310462e-17,4.3625008928163296e-16,9.863825170392325e-15,3.759625422173482e-17,4.838608837281717e-14,8.85840652569067e-17,5.655551576710836e-16,7.60289122032877e-15,1.594986251310462e-17,8.85840652569067e-17,5.166355227965638e-14,9.47675339366145e-15,7.261596315260327e-16,4.3625008928163296e-16,5.655551576710836e-16,9.47675339366145e-15,9.931867527238508e-14,3.781832101804525e-14,9.863825170392325e-15,7.60289122032877e-15,7.261596315260327e-16,3.781832101804525e-14,9.497862540814033e-14
clockmon_0_0_0_138.0_98.0_166.0,"[0, 0, 0, 138.0, 98.0, 166.0]",4.735968754956425e-14,3.755117762984705e-17,1.851946491655844e-17,4.357848561146629e-16,9.871796222845918e-15,3.755117762984705e-17,4.863998642918483e-14,1.109316793764878e-16,5.591415406813128e-16,7.61023206841152e-15,1.851946491655844e-17,1.109316793764878e-16,5.518311538454186e-14,1.117602495857415e-14,9.355343453328025e-16,4.357848561146629e-16,5.591415406813128e-16,1.117602495857415e-14,9.83826603242667e-14,3.777045631833418e-14,9.871796222845918e-15,7.61023206841152e-15,9.355343453328025e-16,3.777045631833418e-14,9.488626593633888e-14
clockmon_0_0_0_138.0_98.0_200.0,"[0, 0, 0, 138.0, 98.0, 200.0]",4.706755438799039e-14,3.755994486349435e-17,2.140081244895821e-17,4.346009266658991e-16,9.863880910849072e-15,3.755994486349435e-17,4.834728897195582e-14,1.423116002125389e-16,5.494379782261754e-16,7.596330638961706e-15,2.140081244895821e-17,1.423116002125389e-16,5.85084550152133e-14,1.254563124568633e-14,1.224315669249985e-15,4.346009266658991e-16,5.494379782261754e-16,1.254563124568633e-14,9.747687372640424e-14,3.766696374552393e-14,9.863880910849072e-15,7.596330638961706e-15,1.224315669249985e-15,3.766696374552393e-14,9.467463923712542e-14
clockmon_0_0_0_138.0_98.0_30.0,"[0, 0, 0, 138.0, 98.0, 30.0]",4.7083249200350414e-14,3.760007488835315e-17,8.92890943044711e-18,4.389658475948296e-16,9.865243984281648e-15,3.760007488835315e-17,4.840357368845816e-14,4.605765572912844e-17,5.818360740827253e-16,7.604600518970592e-15,8.92890943044711e-18,4.605765572912844e-17,4.240727985048428e-14,3.640436287296149e-15,3.298585155411845e-16,4.389658475948296e-16,5.818360740827253e-16,3.640436287296149e-15,1.0246657490629006e-13,3.797223577856581e-14,9.865243984281648e-15,7.604600518970592e-15,3.298585155411845e-16,3.797223577856581e-14,9.520390423674227e-14
clockmon_0_0_0_138.0_98.0_64.0,"[0, 0, 0, 138.0, 98.0, 64.0]",4.708259975635107e-14,3.759823778555039e-17,1.115600047870948e-17,4.380432045605094e-16,9.865114132505316e-15,3.759823778555039e-17,4.83994591714408e-14,5.780540736517744e-17,5.77067127957622e-16,7.604297107177517e-15,1.115600047870948e-17,5.780540736517744e-17,4.532562009858684e-14,5.647231446377042e-15,4.409201805751032e-16,4.380432045605094e-16,5.77067127957622e-16,5.647231446377042e-15,1.014139597939255e-13,3.792684899815832e-14,9.865114132505316e-15,7.604297107177517e-15,4.409201805751032e-16,3.792684899815832e-14,9.514233845605433e-14
clockmon_0_0_0_138.0_98.0_98.0,"[0, 0, 0, 138.0, 98.0, 98.0]",4.7083535053245594e-14,3.76021373636345e-17,1.350890449126409e-17,4.371342619010799e-16,9.864592289277082e-15,3.76021373636345e-17,4.840853291376165e-14,7.183820921524371e-17,5.714529269689421e-16,7.603385764018792e-15,1.350890449126409e-17,7.183820921524371e-17,4.8455031110380574e-14,7.610697406794329e-15,5.68030713961074e-16,4.371342619010799e-16,5.714529269689421e-16,7.610697406794329e-15,1.0034960996777332e-13,3.787629612863013e-14,9.864592289277082e-15,7.603385764018792e-15,5.68030713961074e-16,3.787629612863013e-14,9.507261220813691e-14
clockmon_0_0_0_192.0_132.0_132.0,"[0, 0, 0, 192.0, 132.0, 132.0]",5.070848660018483e-14,5.971956153609286e-17,1.979649005480203e-17,5.411785338124428e-16,1.275701997872154e-14,5.971956153609286e-17,5.162068470199118e-14,1.113335589940812e-16,7.221096912258875e-16,9.454489157933681e-15,1.979649005480203e-17,1.113335589940812e-16,5.166242673518205e-14,9.476301342114672e-15,7.160343975635671e-16,5.411785338124428e-16,7.221096912258875e-16,9.476301342114672e-15,9.916776645974327e-14,3.772330305823493e-14,1.275701997872154e-14,9.454489157933681e-15,7.160343975635671e-16,3.772330305823493e-14,9.243769966562807e-14
clockmon_0_0_0_192.0_132.0_166.0,"[0, 0, 0, 192.0, 132.0, 166.0]",5.098380220709482e-14,5.965434944584034e-17,2.299545129180279e-17,5.406231332025857e-16,1.276456516598751e-14,5.965434944584034e-17,5.185631448944525e-14,1.432038014406766e-16,7.129559103911845e-16,9.466406991923055e-15,2.299545129180279e-17,1.432038014406766e-16,5.516334631132906e-14,1.117402582497179e-14,9.219640146196063e-16,5.406231332025857e-16,7.129559103911845e-16,1.117402582497179e-14,9.823587636237583e-14,3.766829542197223e-14,1.276456516598751e-14,9.466406991923055e-15,9.219640146196063e-16,3.766829542197223e-14,9.23377459420016e-14
clockmon_0_0_0_192.0_132.0_200.0,"[0, 0, 0, 192.0, 132.0, 200.0]",5.0686222145178725e-14,5.965426885229977e-17,2.657227635403072e-17,5.391091587928342e-16,1.275490727462359e-14,5.965426885229977e-17,5.155414245893702e-14,1.8959211526075822e-16,6.988497403671456e-16,9.44490194836488e-15,2.657227635403072e-17,1.8959211526075822e-16,5.846886436069678e-14,1.254216146299292e-14,1.204570233433242e-15,5.391091587928342e-16,6.988497403671456e-16,1.254216146299292e-14,9.733338033246644e-14,3.757440854719546e-14,1.275490727462359e-14,9.44490194836488e-15,1.204570233433242e-15,3.757440854719546e-14,9.214081755852553e-14
clockmon_0_0_0_192.0_132.0_30.0,"[0, 0, 0, 192.0, 132.0, 30.0]",5.070237967672093e-14,5.974488024062858e-17,1.106843958926167e-17,5.445812451636367e-16,1.275699791621863e-14,5.974488024062858e-17,5.1640893013310966e-14,5.530249435951788e-17,7.435518798423902e-16,9.456576906649906e-15,1.106843958926167e-17,5.530249435951788e-17,4.239362771095046e-14,3.639727578854189e-15,3.25538122712354e-16,5.445812451636367e-16,7.435518798423902e-16,3.639727578854189e-15,1.0231143400628878e-13,3.787404793360381e-14,1.275699791621863e-14,9.456576906649906e-15,3.25538122712354e-16,3.787404793360381e-14,9.26594845988982e-14
