key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_[110.0__0__128.0__0__0__0],"[110.0, 0, 128.0, 0, 0, 0]",4.5265447714461545e-14,1.372417645419278e-17,8.35928218931821e-15,3.802108041815402e-16,1.372417645419278e-17,5.295640065907651e-14,7.118082083517804e-16,8.463271817861735e-15,8.35928218931821e-15,7.118082083517804e-16,9.753487420856428e-14,3.702574677859404e-14,3.802108041815402e-16,8.463271817861735e-15,3.702574677859404e-14,9.731198678998559e-14
clockmon_[110.0__0__137.0__0__0__0],"[110.0, 0, 137.0, 0, 0, 0]",4.547825521981142e-14,1.428440657571296e-17,8.37298972661958e-15,3.801200000543555e-16,1.428440657571296e-17,5.414551108577602e-14,7.599399514362147e-16,8.90646818602085e-15,8.37298972661958e-15,7.599399514362147e-16,9.75822845972894e-14,3.703841147001252e-14,3.801200000543555e-16,8.90646818602085e-15,3.703841147001252e-14,9.708898437347447e-14
clockmon_[110.0__0__146.0__0__0__0],"[110.0, 0, 146.0, 0, 0, 0]",4.549756194074111e-14,1.482585027854093e-17,8.37250959396236e-15,3.800443640832833e-16,1.482585027854093e-17,5.512207427061708e-14,8.114899381567313e-16,9.325545430127703e-15,8.37250959396236e-15,8.114899381567313e-16,9.754340583169068e-14,3.702221214406104e-14,3.800443640832833e-16,9.325545430127703e-15,3.702221214406104e-14,9.682836109509178e-14
clockmon_[110.0__0__155.0__0__0__0],"[110.0, 0, 155.0, 0, 0, 0]",4.5497196473182237e-14,1.540414515157619e-17,8.372514350825538e-15,3.798616374019287e-16,1.540414515157619e-17,5.612804333098868e-14,8.672636270407746e-16,9.731040305781362e-15,8.372514350825538e-15,8.672636270407746e-16,9.750864409006913e-14,3.700522935667417e-14,3.798616374019287e-16,9.731040305781362e-15,3.700522935667417e-14,9.657876345548735e-14
clockmon_[110.0__0__164.0__0__0__0],"[110.0, 0, 164.0, 0, 0, 0]",4.539373093322666e-14,1.602766565704828e-17,8.370733190109477e-15,3.795153920335649e-16,1.602766565704828e-17,5.700991283784794e-14,9.275195745792896e-16,1.011888095376532e-14,8.370733190109477e-15,9.275195745792896e-16,9.746335343275911e-14,3.698365649096702e-14,3.795153920335649e-16,1.011888095376532e-14,3.698365649096702e-14,9.63276654686896e-14
clockmon_[110.0__0__173.0__0__0__0],"[110.0, 0, 173.0, 0, 0, 0]",4.54395534488184e-14,1.66627457647234e-17,8.371366290717608e-15,3.79425425438277e-16,1.66627457647234e-17,5.805813854365022e-14,9.927750377111939e-16,1.049412018022406e-14,8.371366290717608e-15,9.927750377111939e-16,9.742490430038988e-14,3.696463455674171e-14,3.79425425438277e-16,1.049412018022406e-14,3.696463455674171e-14,9.609267282630105e-14
clockmon_[110.0__0__182.0__0__0__0],"[110.0, 0, 182.0, 0, 0, 0]",4.548322750371987e-14,1.730080248537707e-17,8.371802917991567e-15,3.793265257760567e-16,1.730080248537707e-17,5.912873929744571e-14,1.063963547732412e-15,1.083966752997522e-14,8.371802917991567e-15,1.063963547732412e-15,9.738078771041362e-14,3.694648543521111e-14,3.793265257760567e-16,1.083966752997522e-14,3.694648543521111e-14,9.586563697953861e-14
clockmon_[110.0__0__191.0__0__0__0],"[110.0, 0, 191.0, 0, 0, 0]",4.5492400678407827e-14,1.7946604137597342e-17,8.372269065066544e-15,3.791992354569368e-16,1.7946604137597342e-17,6.017390108090327e-14,1.141427866369598e-15,1.116933011596022e-14,8.372269065066544e-15,1.141427866369598e-15,9.733302566779275e-14,3.6927252368986605e-14,3.791992354569368e-16,1.116933011596022e-14,3.6927252368986605e-14,9.565001617460314e-14
clockmon_[110.0__0__20.0__0__0__0],"[110.0, 0, 20.0, 0, 0, 0]",4.552182499466813e-14,7.228626756417262e-18,8.373758591429132e-15,3.826462676722691e-16,7.228626756417262e-18,4.2211177018676396e-14,3.0030879889405617e-16,2.781467706764759e-15,8.373758591429132e-15,3.0030879889405617e-16,9.786132696663407e-14,3.720576973227306e-14,3.826462676722691e-16,2.781467706764759e-15,3.720576973227306e-14,1.0065555406345812e-13
clockmon_[110.0__0__200.0__0__0__0],"[110.0, 0, 200.0, 0, 0, 0]",4.545081851974241e-14,1.858030618163752e-17,8.371102837835954e-15,3.78933547804209e-16,1.858030618163752e-17,6.115983245274662e-14,1.224911029570017e-15,1.14749924477267e-14,8.371102837835954e-15,1.224911029570017e-15,9.727359658655697e-14,3.690653847691776e-14,3.78933547804209e-16,1.14749924477267e-14,3.690653847691776e-14,9.544338362635233e-14
