key,coupler_widths,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
clockmon_sensing_132.0_0_0_48.0_0_0,"[132.0, 0, 0, 48.0, 0, 0]",4.665276679788766e-14,6.615641465497921e-18,9.685240885952425e-15,3.6483141677025223e-16,6.615641465497921e-18,4.1294176377251024e-14,2.245840708637771e-16,5.112005538571165e-15,9.685240885952425e-15,2.245840708637771e-16,1.1202919392867994e-13,4.026925402784097e-14,3.6483141677025223e-16,5.112005538571165e-15,4.026925402784097e-14,1.1430986394140313e-13
clockmon_sensing_132.0_0_0_76.0_0_0,"[132.0, 0, 0, 76.0, 0, 0]",4.66771554702116e-14,7.8825610931748e-18,9.685105631472655e-15,3.637138954167511e-16,7.8825610931748e-18,4.3035931456644434e-14,2.703629439091171e-16,6.639052678618852e-15,9.685105631472655e-15,2.703629439091171e-16,1.1202040702127571e-13,4.025338220301604e-14,3.637138954167511e-16,6.639052678618852e-15,4.025338220301604e-14,1.1356503425244315e-13
clockmon_sensing_160.0_0_0_104.0_0_0,"[160.0, 0, 0, 104.0, 0, 0]",4.853933075474539e-14,1.035747618891166e-17,1.1208217428806079e-14,4.099343970641317e-16,1.035747618891166e-17,4.4823453960658864e-14,3.16557485229515e-16,8.161636128315718e-15,1.1208217428806079e-14,3.16557485229515e-16,1.1120211146071272e-13,4.02089189145039e-14,4.099343970641317e-16,8.161636128315718e-15,4.02089189145039e-14,1.1273773600969824e-13
clockmon_sensing_160.0_0_0_132.0_0_0,"[160.0, 0, 0, 132.0, 0, 0]",4.854269262062649e-14,1.178862294077712e-17,1.120860750350499e-14,4.094107491570414e-16,1.178862294077712e-17,4.6648270348209336e-14,3.62571797458309e-16,9.682588873014432e-15,1.120860750350499e-14,3.62571797458309e-16,1.1118058832303564e-13,4.018861658710523e-14,4.094107491570414e-16,9.682588873014432e-15,4.018861658710523e-14,1.119658641108846e-13
clockmon_sensing_160.0_0_0_160.0_0_0,"[160.0, 0, 0, 160.0, 0, 0]",4.8535262156806567e-14,1.324789761154687e-17,1.120799264140493e-14,4.087395515345366e-16,1.324789761154687e-17,4.851196891045333e-14,4.087087992144482e-16,1.12055233054575e-14,1.120799264140493e-14,4.087087992144482e-16,1.1114885001928869e-13,4.016958626735205e-14,4.087395515345366e-16,1.12055233054575e-14,4.016958626735205e-14,1.1117202576399561e-13
clockmon_sensing_160.0_0_0_188.0_0_0,"[160.0, 0, 0, 188.0, 0, 0]",4.8538547084761934e-14,1.473560310453931e-17,1.12119968023663e-14,4.083919893215545e-16,1.473560310453931e-17,5.038368317155119e-14,4.548758647989492e-16,1.27273267627237e-14,1.12119968023663e-14,4.548758647989492e-16,1.1121547661759292e-13,4.016952101152546e-14,4.083919893215545e-16,1.27273267627237e-14,4.016952101152546e-14,1.1046255053503169e-13
clockmon_sensing_160.0_0_0_20.0_0_0,"[160.0, 0, 0, 20.0, 0, 0]",4.855174633804607e-14,6.026314638976468e-18,1.1208145493222831e-14,4.119331368953406e-16,6.026314638976468e-18,3.977756051970698e-14,1.801758211968708e-16,3.611060098497005e-15,1.1208145493222831e-14,1.801758211968708e-16,1.1127789885631966e-13,4.027490846452025e-14,4.119331368953406e-16,3.611060098497005e-15,4.027490846452025e-14,1.150173961147558e-13
clockmon_sensing_160.0_0_0_216.0_0_0,"[160.0, 0, 0, 216.0, 0, 0]",4.851957738539801e-14,1.61469811716542e-17,1.120649535693973e-14,4.073934217541387e-16,1.61469811716542e-17,5.2278724207183394e-14,4.99917979834202e-16,1.423302213708059e-14,1.120649535693973e-14,4.99917979834202e-16,1.1109566762255197e-13,4.01281806291632e-14,4.073934217541387e-16,1.423302213708059e-14,4.01281806291632e-14,1.0957049993252696e-13
clockmon_sensing_160.0_0_0_244.0_0_0,"[160.0, 0, 0, 244.0, 0, 0]",4.8520310235829916e-14,1.75618024566485e-17,1.1207131706691179e-14,4.068789579324499e-16,1.75618024566485e-17,5.418906719161784e-14,5.448876792230391e-16,1.572574211320526e-14,1.1207131706691179e-14,5.448876792230391e-16,1.1107175683028705e-13,4.010760994335974e-14,4.068789579324499e-16,1.572574211320526e-14,4.010760994335974e-14,1.0876777235522964e-13
clockmon_sensing_160.0_0_0_272.0_0_0,"[160.0, 0, 0, 272.0, 0, 0]",4.851232611071927e-14,1.897033623126805e-17,1.121075436059141e-14,4.064112708340689e-16,1.897033623126805e-17,5.611778241155335e-14,5.897465148613469e-16,1.722101627202898e-14,1.121075436059141e-14,5.897465148613469e-16,1.1112622420449601e-13,4.011070598322033e-14,4.064112708340689e-16,1.722101627202898e-14,4.011070598322033e-14,1.0804674003208953e-13
